 ,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
41,282220,282735,300760,309515,307970,330630,342990,296125,296640,284795,279130,286855,277070,274495,276555,279130,287885,295610,307455,348140,426420,338355,300760,296125,284280,1025525,276040,269345,262135,262135,262135,262135,2765225,29015225,1512135,262135,262135,262135,262135,262135,31265225,0,11762135,262135,262135,262135,262135,262135,6515225,68783231,5262135,262135,262135,262135,262135,262135,265225,265225,262135,262135,262135,262135,262135,262135
42,278932,279441,297256,305909,304382,326778,338994,292675,293184,281477,275878,283513,273842,271297,273333,275878,284531,292166,303873,344084,421452,334413,297256,292675,280968,272315,1022824,266207,259081,259081,259081,259081,262135,1512135,18009081,1509081,259081,259081,259081,259081,262135,11762135,0,11759081,259081,259081,259081,259081,262135,5262135,57777087,5259081,259081,259081,259081,259081,262135,262135,259081,259081,259081,259081,259081,259081
43,278932,279441,297256,305909,304382,326778,338994,292675,293184,281477,275878,283513,273842,271297,273333,275878,284531,292166,303873,344084,421452,334413,297256,292675,280968,272315,272824,1016207,259081,259081,259081,259081,262135,262135,1509081,18009081,1509081,259081,259081,259081,262135,262135,11759081,0,11759081,259081,259081,259081,262135,262135,5259081,57777087,5259081,259081,259081,259081,262135,262135,259081,259081,259081,259081,259081,259081
44,278932,279441,297256,305909,304382,326778,338994,292675,293184,281477,275878,283513,273842,271297,273333,275878,284531,292166,303873,344084,421452,334413,297256,292675,280968,272315,272824,266207,1009081,259081,259081,259081,262135,262135,259081,1509081,18009081,1509081,259081,259081,262135,262135,259081,11759081,0,11759081,259081,259081,262135,262135,259081,5259081,57777087,5259081,259081,259081,262135,262135,259081,259081,259081,259081,259081,259081
45,278932,279441,297256,305909,304382,326778,338994,292675,293184,281477,275878,283513,273842,271297,273333,275878,284531,292166,303873,344084,421452,334413,297256,292675,280968,272315,272824,266207,259081,1009081,259081,259081,262135,262135,259081,259081,1509081,18009081,1509081,259081,262135,262135,259081,259081,11759081,0,11759081,259081,262135,262135,259081,259081,5259081,57777087,5259081,259081,262135,262135,259081,259081,259081,259081,259081,259081
46,278932,279441,297256,305909,304382,326778,338994,292675,293184,281477,275878,283513,273842,271297,273333,275878,284531,292166,303873,344084,421452,334413,297256,292675,280968,272315,272824,266207,259081,259081,1009081,259081,262135,262135,259081,259081,259081,1509081,18009081,1509081,262135,262135,259081,259081,259081,11759081,0,11759081,262135,262135,259081,259081,259081,5259081,57777087,5259081,262135,262135,259081,259081,259081,259081,259081,259081
47,278932,279441,297256,305909,304382,326778,338994,292675,293184,281477,275878,283513,273842,271297,273333,275878,284531,292166,303873,344084,421452,334413,297256,292675,280968,272315,272824,266207,259081,259081,259081,1009081,262135,262135,259081,259081,259081,259081,1509081,18009081,1512135,262135,259081,259081,259081,259081,11759081,0,11762135,262135,259081,259081,259081,259081,5259081,57777087,5262135,262135,259081,259081,259081,259081,259081,259081
48,282220,282735,300760,309515,307970,330630,342990,296125,296640,284795,279130,286855,277070,274495,276555,279130,287885,295610,307455,348140,426420,338355,300760,296125,284280,275525,276040,269345,262135,262135,262135,262135,1015225,265225,262135,262135,262135,262135,262135,1512135,55031237,6515225,262135,262135,262135,262135,262135,11762135,0,24265225,262135,262135,262135,262135,262135,5262135,76291237,7765225,262135,262135,262135,262135,262135,262135
49,282220,282735,300760,309515,307970,330630,342990,296125,296640,284795,279130,286855,277070,274495,276555,279130,287885,295610,307455,348140,426420,338355,300760,296125,284280,275525,276040,269345,262135,262135,262135,262135,265225,765225,262135,262135,262135,262135,262135,262135,6515225,68783231,5262135,262135,262135,262135,262135,262135,24265225,0,12762135,262135,262135,262135,262135,262135,7765225,66040240,2762135,262135,262135,262135,262135,262135
50,278932,279441,297256,305909,304382,326778,338994,292675,293184,281477,275878,283513,273842,271297,273333,275878,284531,292166,303873,344084,421452,334413,297256,292675,280968,272315,272824,266207,259081,259081,259081,259081,262135,262135,259081,259081,259081,259081,259081,259081,262135,5262135,57777087,5259081,259081,259081,259081,259081,262135,12762135,0,12759081,259081,259081,259081,259081,262135,2762135,29018084,2759081,259081,259081,259081,259081
51,278932,279441,297256,305909,304382,326778,338994,292675,293184,281477,275878,283513,273842,271297,273333,275878,284531,292166,303873,344084,421452,334413,297256,292675,280968,272315,272824,266207,259081,259081,259081,259081,262135,262135,259081,259081,259081,259081,259081,259081,262135,262135,5259081,57777087,5259081,259081,259081,259081,262135,262135,12759081,0,12759081,259081,259081,259081,262135,262135,2759081,29018084,2759081,259081,259081,259081
52,278932,279441,297256,305909,304382,326778,338994,292675,293184,281477,275878,283513,273842,271297,273333,275878,284531,292166,303873,344084,421452,334413,297256,292675,280968,272315,272824,266207,259081,259081,259081,259081,262135,262135,259081,259081,259081,259081,259081,259081,262135,262135,259081,5259081,57777087,5259081,259081,259081,262135,262135,259081,12759081,0,12759081,259081,259081,262135,262135,259081,2759081,29018084,2759081,259081,259081
53,278932,279441,297256,305909,304382,326778,338994,292675,293184,281477,275878,283513,273842,271297,273333,275878,284531,292166,303873,344084,421452,334413,297256,292675,280968,272315,272824,266207,259081,259081,259081,259081,262135,262135,259081,259081,259081,259081,259081,259081,262135,262135,259081,259081,5259081,57777087,5259081,259081,262135,262135,259081,259081,12759081,0,12759081,259081,262135,262135,259081,259081,2759081,29018084,2759081,259081
54,278932,279441,297256,305909,304382,326778,338994,292675,293184,281477,275878,283513,273842,271297,273333,275878,284531,292166,303873,344084,421452,334413,297256,292675,280968,272315,272824,266207,259081,259081,259081,259081,262135,262135,259081,259081,259081,259081,259081,259081,262135,262135,259081,259081,259081,5259081,57777087,5259081,262135,262135,259081,259081,259081,12759081,0,12759081,262135,262135,259081,259081,259081,2759081,29018084,2759081
55,2778932,279441,297256,305909,304382,326778,338994,292675,293184,281477,275878,283513,273842,271297,273333,275878,284531,292166,303873,344084,421452,334413,297256,292675,280968,272315,272824,266207,259081,259081,259081,259081,262135,262135,259081,259081,259081,259081,259081,259081,262135,262135,259081,259081,259081,259081,5259081,57777087,5262135,262135,259081,259081,259081,259081,12759081,0,12762135,262135,259081,259081,259081,259081,2759081,29018084
56,66057235,7782735,300760,309515,307970,330630,342990,296125,296640,284795,279130,286855,277070,274495,276555,279130,287885,295610,307455,348140,426420,338355,300760,296125,284280,275525,276040,269345,262135,262135,262135,262135,265225,265225,262135,262135,262135,262135,262135,262135,265225,265225,262135,262135,262135,262135,262135,5262135,76291237,7765225,262135,262135,262135,262135,262135,12762135,0,25265225,262135,262135,262135,262135,262135,2762135
57,7782220,76308747,5300760,309515,307970,330630,342990,296125,296640,284795,279130,286855,277070,274495,276555,279130,287885,295610,307455,348140,426420,338355,300760,296125,284280,275525,276040,269345,262135,262135,262135,262135,265225,265225,262135,262135,262135,262135,262135,262135,265225,265225,262135,262135,262135,262135,262135,262135,7765225,66040240,2762135,262135,262135,262135,262135,262135,25265225,0,12762135,262135,262135,262135,262135,262135
58,278932,5279441,57815262,5305909,304382,326778,338994,292675,293184,281477,275878,283513,273842,271297,273333,275878,284531,292166,303873,344084,421452,334413,297256,292675,280968,272315,272824,266207,259081,259081,259081,259081,262135,262135,259081,259081,259081,259081,259081,259081,262135,262135,259081,259081,259081,259081,259081,259081,262135,2762135,29018084,2759081,259081,259081,259081,259081,262135,12762135,0,12759081,259081,259081,259081,259081
59,278932,279441,5297256,57823915,5304382,326778,338994,292675,293184,281477,275878,283513,273842,271297,273333,275878,284531,292166,303873,344084,421452,334413,297256,292675,280968,272315,272824,266207,259081,259081,259081,259081,262135,262135,259081,259081,259081,259081,259081,259081,262135,262135,259081,259081,259081,259081,259081,259081,262135,262135,2759081,29018084,2759081,259081,259081,259081,262135,262135,12759081,0,12759081,259081,259081,259081
60,278932,279441,297256,5305909,57822388,5326778,338994,292675,293184,281477,275878,283513,273842,271297,273333,275878,284531,292166,303873,344084,421452,334413,297256,292675,280968,272315,272824,266207,259081,259081,259081,259081,262135,262135,259081,259081,259081,259081,259081,259081,262135,262135,259081,259081,259081,259081,259081,259081,262135,262135,259081,2759081,29018084,2759081,259081,259081,262135,262135,259081,12759081,0,12759081,259081,259081
61,278932,279441,297256,305909,5304382,57844784,5338994,292675,293184,281477,275878,283513,273842,271297,273333,275878,284531,292166,303873,344084,421452,334413,297256,292675,280968,272315,272824,266207,259081,259081,259081,259081,262135,262135,259081,259081,259081,259081,259081,259081,262135,262135,259081,259081,259081,259081,259081,259081,262135,262135,259081,259081,2759081,29018084,2759081,259081,262135,262135,259081,259081,12759081,0,12759081,259081
62,278932,279441,297256,305909,304382,5326778,57857000,5292675,293184,281477,275878,283513,273842,271297,273333,275878,284531,292166,303873,344084,421452,334413,297256,292675,280968,272315,272824,266207,259081,259081,259081,259081,262135,262135,259081,259081,259081,259081,259081,259081,262135,262135,259081,259081,259081,259081,259081,259081,262135,262135,259081,259081,259081,2759081,29018084,2759081,262135,262135,259081,259081,259081,12759081,0,12759081
63,12778932,279441,297256,305909,304382,326778,5338994,57810681,5293184,281477,275878,283513,273842,271297,273333,275878,284531,292166,303873,344084,421452,334413,297256,292675,280968,272315,272824,266207,259081,259081,259081,259081,262135,262135,259081,259081,259081,259081,259081,259081,262135,262135,259081,259081,259081,259081,259081,259081,262135,262135,259081,259081,259081,259081,2759081,29018084,2762135,262135,259081,259081,259081,259081,12759081,0
