 ,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
42,3000151,3023930,2991145,3039593,2987954,2980965,3019396,2990457,3023051,2984919,3010879,2984202,3067332,2990264,3057226,3092053,3014299,2981151,3129783,2936594,3071652,2976427,3010054,3016644,3218858,3003601,3022593,2954289,3057928,2976368,3094921,3031912,3003671,2977392,3080757,2981181,3010421,3017215,3116417,3059333,2993964,10342940,0,5697580,3008230,2993503,3023505,2975139,3108127,2982886,3064762,3014267,3083252,3040051,3040117,3052383,2992685,3005179,3108326,2961235,3075805,3028800,2997060,3016614
43,3121508,3150922,3118333,3159154,3103818,3101341,3138118,3108056,3142050,3102239,3129460,3101522,3196142,3120648,3184018,3213853,3127946,3099930,3254721,3051954,3192613,3093468,3128494,3143353,3350631,3121760,3141594,3065414,3173255,3093408,3216722,3154391,3121831,3099226,3200262,3101698,3128721,3142187,3235864,3179593,3114900,3100000,5697580,0,10529316,3102974,3139169,3104962,3236880,3108196,3188498,3135903,3202897,3164545,3159678,3167571,3105351,3123339,3225752,3072641,3196906,3152594,3114940,3135333
44,2984297,3007957,2975372,3021942,2975397,2963654,3001865,2974684,3007077,2969186,2994966,2968469,3060687,2974491,3041053,3080476,2993612,2963839,3113190,2922739,3055398,2965528,2994161,3000711,3208136,2987747,3006620,2933961,3037001,2960675,3078548,3015899,2987818,2961699,3062886,2965448,2989754,2998106,3096728,3039984,2981367,2966947,3008230,10529316,0,5524328,3004356,2959445,3090076,2967153,3053362,2996774,3063763,3023978,3032054,3034672,2972138,2987728,3087099,2940868,3059531,3009631,2981247,3000680
45,2961724,2985241,2952895,3003923,2948150,2941250,2977598,2952207,2984360,2946758,2972321,2949236,3028071,2956808,3018096,3052484,2970992,2941434,3092925,2900646,3037139,2938353,2971540,2978041,3179257,2965174,2988697,2921360,3018888,2938294,3055351,2996330,2965246,2950504,3039809,2943019,2971953,2975461,3073388,3017051,2960464,2944518,2993503,3102974,5524328,0,10375687,2937065,3069979,2944724,3025587,2978948,3039064,3004338,3001251,3008592,2949685,2965155,3067027,2918631,3046042,2986915,2960320,2979609
46,2996280,3024830,2987292,3034086,2987300,2975525,3012314,2986602,3019156,2981074,3006997,2980356,3063386,2986411,3053293,3088080,3005627,2978906,3130560,2936000,3072495,2977383,3006176,3012757,3214736,3004525,3018699,2945688,3052404,2977325,3090947,3029609,2999801,2973554,3073608,2977336,3001753,3010137,3109223,3057001,2990107,2978835,3023505,3139169,3004356,10375687,0,5529470,3107334,2983835,3062421,3010387,3074500,3037736,3041001,3043667,2984041,3006105,3102742,2952627,3079840,3023308,2993198,3017521
47,2951421,2974865,2942640,2988706,2945897,2935824,2972041,2941952,2973985,2936527,2966777,2935810,3017540,2941759,3007601,3041868,2960664,2931215,3078982,2888985,3021802,2932940,2961213,2967690,3169796,2954871,2973528,2906455,3003621,2928087,3046334,2989127,2954942,2929111,3030852,2932788,2956842,2965122,3062700,3006568,2945403,2937483,2975139,3104962,2959445,2937065,5529470,0,10200018,2934493,3015080,2968620,3028497,2990706,2990829,2998132,2939442,2954852,3053179,2908496,3032294,2976539,2948443,2967660
48,3081900,3106258,3075707,3123904,3069224,3060445,3103128,3084607,3106975,3067691,3092917,3070170,3154102,3071630,3148503,3176299,3091447,3060631,3215087,3019620,3156919,3057409,3091996,3098777,3306656,3085350,3104920,3032905,3136228,3057350,3179168,3120824,3087019,3066365,3166122,3067149,3087473,3099254,3202837,3139329,3081818,3068649,3108127,3236880,3090076,3069979,3107334,10200018,0,5620563,3151339,3094611,3162321,3127651,3122828,3130587,3069161,3085333,3188066,3036847,3159570,3107932,3078618,3098748
49,2959121,2985809,2956700,3004476,2945567,2938674,2974979,2949619,2981733,2944178,2969706,2946657,3026992,2952623,3015429,3049776,2968380,2938861,3090175,2896525,3034458,2938978,2972125,2975423,3178001,2962573,2981276,2909233,3014630,2938919,3057438,2993695,2964241,2936747,3038721,2943636,2964550,2972848,3075452,3014389,2957874,2946733,2982886,3108196,2967153,2944724,2983835,2934493,5620563,0,10518604,2974738,3039570,2998494,2998609,3005937,2947103,2962552,3061111,2919280,3033767,2984288,2959323,2980186
50,3040444,3067685,3031263,3083524,3026431,3019354,3056670,3035368,3063608,3024949,3051306,3029026,3108463,3030382,3103018,3135090,3049887,3019538,3171707,2979205,3116021,3021165,3055231,3065105,3263521,3048689,3063151,2989085,3094044,3016310,3141153,3074157,3043965,3017335,3121976,3033996,3045967,3054446,3158119,3097091,3034126,3022710,3064762,3188498,3053362,3025587,3062421,3015080,3151339,10518604,0,5615766,3127710,3084025,3085645,3088455,3029563,3045473,3145103,2996119,3117023,3069358,3037266,3057084
51,2988710,3015592,2979770,3034387,2974996,2968039,3004696,2982276,3011514,2973576,2999392,2972858,3055588,2983682,3050325,3081796,2998033,2973019,3117752,2925474,3063088,2965116,2998582,3009935,3206409,2995357,3011057,2938310,3041470,2969850,3083065,3029932,2992231,2966080,3064187,2973033,3003759,3005728,3101270,3047654,2982572,2979326,3014267,3135903,2996774,2978948,3010387,2968620,3094611,2974738,5615766,0,9590725,3031633,3031713,3040735,2976533,2992141,3093227,2946823,3064028,3014068,2985652,3005109
